date,team,opponent,result,attendance,contest,WL,home_score,away_score,game_number,location,auto_generate
08/30/2024,Central (IA),St. Scholastica,W 3-0,125.0,5667574,W,3,0,1,,
08/30/2024,Coe,WashU,L 2-3,54.0,5667340,L,2,3,1,,
08/30/2024,Dubuque,Minn.-Morris,W 3-1,106.0,5667205,W,3,1,1,,
08/30/2024,Dubuque,St. Catherine,W 3-0,164.0,5667250,W,3,0,1,,
08/30/2024,Loras,Alma,W 3-0,132.0,5667218,W,3,0,1,,
08/30/2024,Loras,UChicago,L 0-3,50.0,5667468,L,0,3,1,,
08/30/2024,Luther,IIT,L 2-3,100.0,5667376,L,2,3,1,,
08/30/2024,Luther,Ripon,W 3-2,100.0,5667474,W,3,2,1,,
08/30/2024,Neb. Wesleyan,McMurry,W 3-0,156.0,5667308,W,3,0,1,,
08/30/2024,Neb. Wesleyan,Dallas,W 3-0,175.0,5667578,W,3,0,1,,
08/30/2024,Simpson,Saint Mary's (MN),W 3-1,207.0,5667444,W,3,1,1,,
08/30/2024,Simpson,Wis.-Platteville,L 0-3,152.0,5667582,L,0,3,1,,
08/30/2024,Wartburg,Concordia (TX),W 3-1,123.0,5667452,W,3,1,1,,
08/30/2024,Centenary (NJ),Alvernia,L 0-3,153.0,5667360,L,0,3,1,,
08/30/2024,Centenary (NJ),Lancaster Bible,L 0-3,175.0,5681213,L,0,3,1,,
08/30/2024,Gwynedd Mercy,Arcadia,L 0-3,150.0,5667416,L,0,3,1,,
08/30/2024,Immaculata,Penn St. Brandywine,W 3-0,75.0,5667530,W,3,0,1,,
08/30/2024,Marymount (VA),Geneva,W 3-0,42.0,5667385,W,3,0,1,,
08/30/2024,Marymount (VA),William Peace,L 2-3,78.0,5667561,L,2,3,1,,
08/30/2024,Neumann,MIT,L 0-3,25.0,5667562,L,0,3,1,,
08/30/2024,Chris. Newport,Wm. Paterson,W 3-1,68.0,5667242,W,3,1,1,,
08/30/2024,Chris. Newport,Juniata,L 0-3,380.0,5667485,L,0,3,1,,
08/30/2024,Mary Washington,Kean,W 3-1,312.0,5667386,W,3,1,1,,
08/30/2024,Mary Washington,Va. Wesleyan,L 0-3,312.0,5667525,L,0,3,1,,
08/30/2024,Mount Mary,Ripon,L 0-3,100.0,5667241,L,0,3,1,,
08/30/2024,Mount Mary,Marian (WI),L 0-3,79.0,5667375,L,0,3,1,,
08/30/2024,Salisbury,Catholic,W 3-0,182.0,5667354,W,3,0,1,,
08/30/2024,UC Santa Cruz,Whitworth,L 0-3,150.0,5667187,L,0,3,1,,
08/30/2024,UC Santa Cruz,Pacific Lutheran,W 3-2,110.0,5667455,W,3,2,1,,
08/30/2024,Augustana (IL),Concordia Wisconsin,W 3-0,60.0,5667377,W,3,0,1,,
08/30/2024,Carroll (WI),Dominican (IL),W 3-0,115.0,5667447,W,3,0,1,,
08/30/2024,Carthage,Macalester,W 3-1,32.0,5667211,W,3,1,1,,
08/30/2024,Carthage,Hamline,W 3-0,100.0,5667248,W,3,0,1,,
08/30/2024,Elmhurst,Southwestern (TX),L 1-3,76.0,5667259,L,1,3,1,,
08/30/2024,Elmhurst,Aurora,L 1-3,286.0,5667521,L,1,3,1,,
08/30/2024,Ill. Wesleyan,Mt. St. Joseph,W 3-0,45.0,5667560,W,3,0,1,,
08/30/2024,Millikin,Colorado Col.,W 3-1,135.0,5667238,W,3,1,1,,
08/30/2024,Millikin,Transylvania,W 3-2,55.0,5667587,W,3,2,1,,
08/30/2024,North Central (IL),Carleton,W 3-0,84.0,5667295,W,3,0,1,,
08/30/2024,North Central (IL),St. Olaf,W 3-0,75.0,5667470,W,3,0,1,,
08/30/2024,Wheaton (IL),Spalding,W 3-0,80.0,5667581,W,3,0,1,,
08/30/2024,Asbury,Wooster,W 3-0,186.0,5667374,W,3,0,1,,
08/30/2024,Asbury,Trine,L 1-3,226.0,5667551,L,1,3,1,,
08/30/2024,Belhaven,Rhodes,L 0-3,111.0,5667467,L,0,3,1,,
08/30/2024,Covenant,Wilmington (OH),W 3-1,72.0,5667469,W,3,1,1,,
08/30/2024,Huntingdon,Pfeiffer,L 0-3,55.0,5667258,L,0,3,1,,
08/30/2024,Maryville (TN),Hanover,L 1-3,175.0,5667253,L,1,3,1,,
08/30/2024,Maryville (TN),Brevard,L 1-3,150.0,5667533,L,1,3,1,,
08/30/2024,Piedmont,Oglethorpe,L 0-3,73.0,5667290,L,0,3,1,,
08/30/2024,Endicott,WPI,W 3-1,106.0,5667407,W,3,1,1,,
08/30/2024,Gordon,Lasell,L 1-3,55.0,5667352,L,1,3,1,,
08/30/2024,U New England,St. Joseph's (ME),W 3-0,74.0,5667440,W,3,0,1,,
08/30/2024,Wentworth,Emmanuel (MA),W 3-1,321.0,5667434,W,3,1,1,,
08/30/2024,Western New Eng.,Utica,W 3-1,75.0,5667316,W,3,1,1,,
08/30/2024,Baruch,Bryn Mawr,L 2-3,85.0,5667197,L,2,3,1,,
08/30/2024,Baruch,St. Joseph's (Brkln),W 3-0,189.0,5667350,W,3,0,1,,
08/30/2024,John Jay,New Jersey City,W 3-0,59.0,5667169,W,3,0,1,,
08/30/2024,John Jay,UMSV,W 3-0,50.0,5667114,W,3,0,1,,
08/30/2024,Bryn Mawr,St. Joseph's (Brkln),L 1-3,212.0,5667265,L,1,3,1,,
08/30/2024,Dickinson,Southern Va.,W 3-2,41.0,5667367,W,3,2,1,,
08/30/2024,Dickinson,Gallaudet,L 1-3,53.0,5667543,L,1,3,1,,
08/30/2024,Franklin & Marshall,Elizabethtown,W 3-0,105.0,5667537,W,3,0,1,,
08/30/2024,Gettysburg,York (PA),W 3-0,68.0,5667243,W,3,0,1,,
08/30/2024,Gettysburg,Bridgewater (VA),W 3-2,118.0,5667486,W,3,2,1,,
08/30/2024,Haverford,Lebanon Valley,W 3-0,63.0,5667249,W,3,0,1,,
08/30/2024,Haverford,Wheaton (MA),W 3-0,83.0,5667509,W,3,0,1,,
08/30/2024,Johns Hopkins,Wm. Paterson,W 3-0,28.0,5667371,W,3,0,1,,
08/30/2024,McDaniel,Penn St. Harrisburg,L 0-3,189.0,5667532,L,0,3,1,,
08/30/2024,Muhlenberg,Pomona-Pitzer,L 0-3,135.0,5667219,L,0,3,1,,
08/30/2024,Ursinus,Brandeis,W 3-2,75.0,5681207,W,3,2,1,,
08/30/2024,Washington Col.,Moravian,W 3-1,41.0,5667479,W,3,1,1,,
08/30/2024,Trinity Washington,Valley Forge,W 3-1,30.0,5667528,W,3,1,1,,
08/30/2024,Alfred,SUNY Cobleskill,W 3-0,75.0,5667548,W,3,0,1,,
08/30/2024,Elmira,Smith,L 0-3,123.0,5667245,L,0,3,1,,
08/30/2024,Elmira,SUNY Canton,L 0-3,138.0,5667688,L,0,3,1,,
08/30/2024,Hartwick,Penn College,W 3-1,108.0,5667456,W,3,1,1,,
08/30/2024,Hartwick,Lycoming,W 3-2,108.0,5667579,W,3,2,1,,
08/30/2024,Keuka,Fredonia,W 3-0,125.0,5667358,W,3,0,1,,
08/30/2024,Nazareth,Emerson,L 0-3,122.0,5667356,L,0,3,1,,
08/30/2024,Russell Sage,SUNY Morrisville,L 2-3,0.0,5667345,L,2,3,1,,
08/30/2024,SUNY Brockport,DeSales,W 3-1,150.0,5667510,W,3,1,1,,
08/30/2024,SUNY Geneseo,Clark (MA),L 1-3,42.0,5667302,L,1,3,1,,
08/30/2024,SUNY Poly,St. Lawrence,L 2-3,73.0,5667547,L,2,3,1,,
08/30/2024,St. John Fisher,Lakeland,W 3-2,78.0,5697416,W,3,2,1,,
08/30/2024,St. John Fisher,Austin,L 1-3,171.0,5667291,L,1,3,1,,
08/30/2024,Colby-Sawyer,Wellesley,L 0-3,225.0,5682752,L,0,3,1,,
08/30/2024,JWU (Providence),Framingham St.,W 3-0,300.0,5667526,W,3,0,1,,
08/30/2024,New England Col.,WestConn,L 0-3,45.0,5667361,L,0,3,1,,
08/30/2024,Regis (MA),Thomas (ME),W 3-0,78.0,5667244,W,3,0,1,,
08/30/2024,Rivier,Westfield St.,W 3-1,55.0,5667384,W,3,1,1,,
08/30/2024,Saint Joseph (CT),Eastern Conn. St.,L 0-3,100.0,5667515,L,0,3,1,,
08/30/2024,Simmons,Emerson,L 0-3,107.0,5681204,L,0,3,1,,
08/30/2024,Simmons,Manhattanville,L 1-3,107.0,5667199,L,1,3,1,,
08/30/2024,Anderson (IN),Wash. & Jeff.,W 3-1,113.0,5667268,W,3,1,1,,
08/30/2024,Anderson (IN),Olivet,W 3-0,50.0,5667557,W,3,0,1,,
08/30/2024,Berea,Otterbein,L 0-3,50.0,5667325,L,0,3,1,,
08/30/2024,Bluffton,Monmouth (IL),L 1-3,50.0,5667269,L,1,3,1,,
08/30/2024,Bluffton,Oberlin,W 3-0,58.0,5667558,W,3,0,1,,
08/30/2024,Earlham,Wooster,W 3-0,186.0,5667251,W,3,0,1,,
08/30/2024,Earlham,Northland,W 3-0,228.0,5667539,W,3,0,1,,
08/30/2024,Hanover,Randolph-Macon,W 3-1,55.0,5667158,W,3,1,1,,
08/30/2024,Manchester,John Carroll,L 0-3,220.0,5667382,L,0,3,1,,
08/30/2024,Mt. St. Joseph,Baldwin Wallace,W 3-2,102.0,5667342,W,3,2,1,,
08/30/2024,Rose-Hulman,Westminster (MO),W 3-1,100.0,5667549,W,3,1,1,,
08/30/2024,Transylvania,Gustavus Adolphus,L 2-3,170.0,5667363,L,2,3,1,,
08/30/2024,Drew,St. Joseph's (L.I.),W 3-2,13.0,5667635,W,3,2,1,,
08/30/2024,Lycoming,Penn College,W 3-0,109.0,5667283,W,3,0,1,,
08/30/2024,Moravian,Lancaster Bible,L 2-3,74.0,5667344,L,2,3,1,,
08/30/2024,Scranton,Misericordia,W 3-0,102.0,5667353,W,3,0,1,,
08/30/2024,Susquehanna,Wis.-Eau Claire,L 0-3,45.0,5667303,L,0,3,1,,
08/30/2024,Susquehanna,Eastern,L 0-3,51.0,5667365,L,0,3,1,,
08/30/2024,Wilkes,Keystone,L 2-3,175.0,5667475,L,2,3,1,,
08/30/2024,Bard,Babson,L 0-3,75.0,5667516,L,0,3,1,,
08/30/2024,Clarkson,Pacific Lutheran,L 1-3,100.0,5667388,L,1,3,1,,
08/30/2024,Clarkson,Whitman,W 3-0,120.0,5667572,W,3,0,1,,
08/30/2024,Ithaca,Springfield,W 3-0,300.0,5667346,W,3,0,1,,
08/30/2024,RIT,Bethany (WV),W 3-2,88.0,5667230,W,3,2,1,,
08/30/2024,RIT,Saint Vincent,W 3-2,237.0,5667427,W,3,2,1,,
08/30/2024,Skidmore,Occidental,L 1-3,27.0,5667153,L,1,3,1,,
08/30/2024,Skidmore,Pomona-Pitzer,L 0-3,137.0,5667357,L,0,3,1,,
08/30/2024,Union (NY),Chapman,L 1-3,50.0,5667201,L,1,3,1,,
08/30/2024,Union (NY),Occidental,W 3-0,50.0,5667261,W,3,0,1,,
08/30/2024,Vassar,Montclair St.,L 1-3,135.0,5667482,L,1,3,1,,
08/30/2024,William Smith,Oswego St.,W 3-0,147.0,5667465,W,3,0,1,,
08/30/2024,Keene St.,Stevens,L 0-3,100.0,5667570,L,0,3,1,,
08/30/2024,Plymouth St.,Plattsburgh St.,W 3-0,85.0,5667280,W,3,0,1,,
08/30/2024,Plymouth St.,SUNY Potsdam,W 3-1,37.0,5667453,W,3,1,1,,
08/30/2024,Southern Me.,Maine Maritime,L 0-3,112.0,5667577,L,0,3,1,,
08/30/2024,UMass Boston,NYU,L 0-3,400.0,5667329,L,0,3,1,,
08/30/2024,UMass Dartmouth,FDU-Florham,W 3-0,63.0,5667546,W,3,0,1,,
08/30/2024,Albright,Bryn Athyn,W 3-0,196.0,5667535,W,3,0,1,,
08/30/2024,Eastern,Wis.-Eau Claire,W 3-1,52.0,5667541,W,3,1,1,,
08/30/2024,Messiah,Gallaudet,L 2-3,65.0,5667366,L,2,3,1,,
08/30/2024,Messiah,Southern Va.,W 3-0,50.0,5667542,W,3,0,1,,
08/30/2024,Stevenson,Rutgers-Camden,W 3-0,100.0,5667364,W,3,0,1,,
08/30/2024,York (PA),Bridgewater (VA),L 0-3,62.0,5682651,L,0,3,1,,
08/30/2024,King's (PA),Saint Elizabeth,W 3-0,75.0,5667501,W,3,0,1,,
08/30/2024,MCLA,Claremont-M-S,L 0-3,75.0,5667391,L,0,3,1,,
08/30/2024,MCLA,Chapman,L 0-3,50.0,5667471,L,0,3,1,,
08/30/2024,Augsburg,Edgewood,L 1-3,72.0,5667328,L,1,3,1,,
08/30/2024,Augsburg,Knox,W 3-0,72.0,5667563,W,3,0,1,,
08/30/2024,Carleton,Lawrence,W 3-0,50.0,5667152,W,3,0,1,,
08/30/2024,Gustavus Adolphus,Wis.-Oshkosh,W 3-1,123.0,5667175,W,3,1,1,,
08/30/2024,Hamline,Concordia Wisconsin,L 1-3,100.0,5667504,L,1,3,1,,
08/30/2024,Saint Benedict,Texas Lutheran,L 2-3,71.0,5667454,L,2,3,1,,
08/30/2024,Saint Mary's (MN),Grinnell,L 0-3,131.0,5667576,L,0,3,1,,
08/30/2024,St. Catherine,St. Norbert,W 3-0,120.0,5667534,W,3,0,1,,
08/30/2024,St. Olaf,Alma,W 3-0,40.0,5667296,W,3,0,1,,
08/30/2024,St. Scholastica,Bethany Lutheran,L 0-3,125.0,5667318,L,0,3,1,,
08/30/2024,Beloit,Rockford,L 1-3,645.0,5667536,L,1,3,1,,
08/30/2024,Cornell College,Wis.-Stevens Point,W 3-2,182.0,5667359,W,3,2,1,,
08/30/2024,Grinnell,Fontbonne,W 3-0,131.0,5667414,W,3,0,1,,
08/30/2024,Lake Forest,Wis.-Whitewater,L 0-3,219.0,5667287,L,0,3,1,,
08/30/2024,Lawrence,UChicago,L 0-3,50.0,5667216,L,0,3,1,,
08/30/2024,Monmouth (IL),Waynesburg,W 3-0,123.0,5667555,W,3,0,1,,
08/30/2024,Albion,Mount Union,L 0-3,207.0,5667282,L,0,3,1,,
08/30/2024,Albion,Marietta,L 1-3,63.0,5667580,L,1,3,1,,
08/30/2024,Calvin,Carnegie Mellon,W 3-1,50.0,5667438,W,3,1,1,,
08/30/2024,Hope,Northwestern-St. Paul,W 3-0,952.0,5667429,W,3,0,1,,
08/30/2024,Kalamazoo,Oberlin,W 3-1,68.0,5667271,W,3,1,1,,
08/30/2024,Kalamazoo,Wash. & Jeff.,W 3-0,220.0,5667554,W,3,0,1,,
08/30/2024,Olivet,Waynesburg,W 3-2,1.0,5667270,W,3,2,1,,
08/30/2024,Trine,Northland,W 3-0,134.0,5667320,W,3,0,1,,
08/30/2024,Aurora,Southwestern (TX),L 1-3,204.0,5667198,L,1,3,1,,
08/30/2024,Benedictine (IL),Wis.-Stout,L 0-3,50.0,5667289,L,0,3,1,,
08/30/2024,Concordia Chicago,Brevard,L 2-3,115.0,5667313,L,2,3,1,,
08/30/2024,Dominican (IL),Webster,L 0-3,115.0,5667584,L,0,3,1,,
08/30/2024,Edgewood,Wis.-Whitewater,L 0-3,276.0,5667511,L,0,3,1,,
08/30/2024,IIT,Martin Luther,L 1-3,94.0,5667552,L,1,3,1,,
08/30/2024,Lakeland,Austin,L 0-3,183.0,5667433,L,0,3,1,,
08/30/2024,MSOE,Wis.-Stout,L 1-3,50.0,5667451,L,1,3,1,,
08/30/2024,Marian (WI),Martin Luther,W 3-2,50.0,5667267,W,3,2,1,,
08/30/2024,St. Norbert,Minn.-Morris,W 3-0,160.0,5667378,W,3,0,1,,
08/30/2024,Wis. Lutheran,Randolph-Macon,L 0-3,65.0,5667203,L,0,3,1,,
08/30/2024,DePauw,Capital,W 3-0,175.0,5667428,W,3,0,1,,
08/30/2024,Denison,Carnegie Mellon,L 0-3,50.0,5667293,L,0,3,1,,
08/30/2024,Hiram,Grove City,L 0-3,57.0,5667379,L,0,3,1,,
08/30/2024,Wittenberg,Otterbein,L 0-3,173.0,5667517,L,0,3,1,,
08/30/2024,Babson,Husson,W 3-0,75.0,5667351,W,3,0,1,,
08/30/2024,Coast Guard,SUNY New Paltz,W 3-0,94.0,5667569,W,3,0,1,,
08/30/2024,Wheaton (MA),Stockton,L 2-3,73.0,5667368,L,2,3,1,,
08/30/2024,Kean,Geneva,W 3-0,30.0,5667274,W,3,0,1,,
08/30/2024,New Jersey City,UMSV,W 3-0,70.0,5667284,W,3,0,1,,
08/30/2024,Rowan,Buffalo St.,W 3-1,125.0,5667162,W,3,1,1,,
08/30/2024,Lewis & Clark,Hendrix,L 0-3,100.0,5667228,L,0,3,1,,
08/30/2024,Lewis & Clark,St. Thomas (TX),L 0-3,150.0,5667586,L,0,3,1,,
08/30/2024,Whitman,Redlands,L 0-3,250.0,5667123,L,0,3,1,,
08/30/2024,Whitworth,Redlands,W 3-0,105.0,5667327,W,3,0,1,,
08/30/2024,SUNY Delhi,Farmingdale St.,L 1-3,247.0,5667531,L,1,3,1,,
08/30/2024,Heidelberg,Allegheny,L 2-3,68.0,5667209,L,2,3,1,,
08/30/2024,John Carroll,Grove City,W 3-1,5.0,5667206,W,3,1,1,,
08/30/2024,Marietta,Rochester (NY),W 3-0,122.0,5667437,W,3,0,1,,
08/30/2024,Mount Union,Rochester (NY),W 3-0,173.0,5667571,W,3,0,1,,
08/30/2024,Muskingum,Chatham,W 3-0,112.0,5667207,W,3,0,1,,
08/30/2024,Muskingum,Allegheny,L 2-3,113.0,5667380,L,2,3,1,,
08/30/2024,Ohio Northern,CWRU,L 2-3,50.0,5667208,L,2,3,1,,
08/30/2024,Ohio Northern,Greenville,W 3-2,1243.0,5667383,W,3,2,1,,
08/30/2024,Averett,Meredith,L 2-3,150.0,5667281,L,2,3,1,,
08/30/2024,Averett,Salem (NC),L 1-3,150.0,5667398,L,1,3,1,,
08/30/2024,Ferrum,Mary Baldwin,W 3-1,125.0,5667436,W,3,1,1,,
08/30/2024,Guilford,Methodist,L 0-3,150.0,5667176,L,0,3,1,,
08/30/2024,Hollins,Franciscan,W 3-2,117.0,5667311,W,3,2,1,,
08/30/2024,Hollins,Westminster (PA),L 0-3,44.0,5667585,L,0,3,1,,
08/30/2024,Lynchburg,Meredith,W 3-2,100.0,5667177,W,3,2,1,,
08/30/2024,Lynchburg,Salem (NC),W 3-2,100.0,5682667,W,3,2,1,,
08/30/2024,Roanoke,Methodist,W 3-2,36.0,5667298,W,3,2,1,,
08/30/2024,Shenandoah,Wis.-Superior,L 0-3,75.0,5667262,L,0,3,1,,
08/30/2024,Shenandoah,Dallas,W 3-2,165.0,5667424,W,3,2,1,,
08/30/2024,Va. Wesleyan,William Peace,W 3-0,159.0,5667255,W,3,0,1,,
08/30/2024,Wash. & Lee,Berry,W 3-2,150.0,5667246,W,3,2,1,,
08/30/2024,Chatham,CWRU,L 0-3,50.0,5667381,L,0,3,1,,
08/30/2024,Franciscan,Westminster (PA),L 0-3,50.0,5667449,L,0,3,1,,
08/30/2024,Centre,Whittier,W 3-2,87.0,5667115,W,3,2,1,,
08/30/2024,Centre,La Verne,L 0-3,215.0,5667190,L,0,3,1,,
08/30/2024,Hendrix,St. Thomas (TX),L 0-3,150.0,5667125,L,0,3,1,,
08/30/2024,Hendrix,Schreiner,W 3-2,100.0,5667227,W,3,2,1,,
08/30/2024,Colorado Col.,Wis.-Oshkosh,L 0-3,189.0,5667564,L,0,3,1,,
08/30/2024,McMurry,Wis.-Superior,L 2-3,111.0,5667180,L,2,3,1,,
08/30/2024,Texas Lutheran,Cortland,L 0-3,0.0,5667161,L,0,3,1,,
08/30/2024,Trinity (TX),Cortland,W 3-0,200.0,5667432,W,3,0,1,,
08/30/2024,La Verne,UW-River Falls,W 3-1,197.0,5667392,W,3,1,1,,
08/30/2024,Whittier,UW-River Falls,W 3-1,0.0,5667202,W,3,1,1,,
08/30/2024,Webster,Wis.-La Crosse,W 3-1,104.0,5667448,W,3,1,1,,
08/30/2024,SUNY Oneonta,Mt. St. Mary (NY),W 3-0,275.0,5667418,W,3,0,1,,
08/30/2024,Emory,Greensboro,W 3-0,476.0,5667500,W,3,0,1,,
08/30/2024,Cairn,Penn St.-Abington,W 3-1,275.0,5667473,W,3,1,1,,
08/31/2024,Alfred St.,Elmira,W 3-0,102.0,5667348,W,3,0,1,,
08/31/2024,Alfred St.,SUNY Canton,W 3-2,25.0,5667861,W,3,2,1,,
08/31/2024,Hilbert,Fredonia,L 1-3,125.0,5667870,L,1,3,1,,
08/31/2024,Hilbert,Keuka,W 3-0,125.0,5667979,W,3,0,1,,
08/31/2024,Mount Aloysius,Catholic,L 1-3,89.0,5667944,L,1,3,1,,
08/31/2024,Mount Aloysius,Salisbury,L 0-3,94.0,5668031,L,0,3,1,,
08/31/2024,Penn St.-Altoona,Olivet,L 0-3,113.0,5667665,L,0,3,1,,
08/31/2024,Penn St.-Altoona,Kalamazoo,L 0-3,123.0,5667945,L,0,3,1,,
08/31/2024,Penn St.-Behrend,Anderson (IN),L 0-3,50.0,5667666,L,0,3,1,,
08/31/2024,Penn St.-Behrend,Monmouth (IL),L 0-3,75.0,5667948,L,0,3,1,,
08/31/2024,Pitt.-Bradford,Fredonia,L 0-3,45.0,5667732,L,0,3,1,,
08/31/2024,Pitt.-Bradford,Thiel,L 2-3,37.0,5667871,L,2,3,1,,
08/31/2024,Pitt.-Greensburg,RIT,L 1-3,70.0,5667648,L,1,3,1,,
08/31/2024,Pitt.-Greensburg,Westminster (PA),L 0-3,71.0,5668034,L,0,3,1,,
08/31/2024,East Tex. Baptist,Trinity (TX),L 2-3,294.0,5667707,L,2,3,1,,
08/31/2024,East Tex. Baptist,Texas Lutheran,W 3-1,112.0,5668013,W,3,1,1,,
08/31/2024,Hardin-Simmons,Sewanee,W 3-0,100.0,5667660,W,3,0,1,,
08/31/2024,Howard Payne,Centenary (LA),W 3-0,132.0,5667222,W,3,0,1,,
08/31/2024,LeTourneau,Allegheny,L 2-3,50.0,5667599,L,2,3,1,,
08/31/2024,LeTourneau,CWRU,L 1-3,50.0,5667742,L,1,3,1,,
08/31/2024,Mary Hardin-Baylor,George Fox,W 3-1,82.0,5667600,W,3,1,1,,
08/31/2024,Mary Hardin-Baylor,Willamette,W 3-1,74.0,5667999,W,3,1,1,,
08/31/2024,Buena Vista,Saint Mary's (MN),L 2-3,48.0,5667645,L,2,3,1,,
08/31/2024,Buena Vista,Bethany Lutheran,L 0-3,106.0,5667787,L,0,3,1,,
08/31/2024,Central (IA),Fontbonne,L 1-3,150.0,5667761,L,1,3,1,,
08/31/2024,Central (IA),Concordia-M'head,W 3-0,150.0,5667907,W,3,0,1,,
08/31/2024,Coe,Northwestern-St. Paul,W 3-2,221.0,5667701,W,3,2,1,,
08/31/2024,Coe,Hope,L 0-3,63.0,5667882,L,0,3,1,,
08/31/2024,Dubuque,Carthage,L 2-3,80.0,5667613,L,2,3,1,,
08/31/2024,Dubuque,Hamline,L 0-3,80.0,5667883,L,0,3,1,,
08/31/2024,Loras,Lawrence,W 3-1,178.0,5667640,W,3,1,1,,
08/31/2024,Luther,Marian (WI),L 0-3,100.0,5667659,L,0,3,1,,
08/31/2024,Luther,Martin Luther,W 3-1,0.0,5667796,W,3,1,1,,
08/31/2024,Neb. Wesleyan,Shenandoah,W 3-0,84.0,5667802,W,3,0,1,,
08/31/2024,Neb. Wesleyan,Wis.-Superior,L 1-3,106.0,5667951,L,1,3,1,,
08/31/2024,Simpson,Rose-Hulman,W 3-2,72.0,5667725,W,3,2,1,,
08/31/2024,Simpson,St. Scholastica,W 3-0,74.0,5667786,W,3,0,1,,
08/31/2024,Wartburg,Benedictine (IL),W 3-1,50.0,5667630,W,3,1,1,,
08/31/2024,Wartburg,MSOE,W 3-0,115.0,5667792,W,3,0,1,,
08/31/2024,Centenary (NJ),Moravian,L 1-3,68.0,5667619,L,1,3,1,,
08/31/2024,Centenary (NJ),Washington Col.,L 0-3,93.0,5667778,L,0,3,1,,
08/31/2024,Immaculata,Valley Forge,W 3-0,75.0,5667699,W,3,0,1,,
08/31/2024,Immaculata,Penn St.-Abington,L 0-3,55.0,5667977,L,0,3,1,,
08/31/2024,Marymount (VA),Va. Wesleyan,L 2-3,50.0,5682699,L,2,3,1,,
08/31/2024,Marymount (VA),Kean,L 0-3,50.0,5667804,L,0,3,1,,
08/31/2024,Marywood,Cedar Crest,L 0-3,140.0,5667692,L,0,3,1,,
08/31/2024,Marywood,Delaware Valley,W 3-2,145.0,5667972,W,3,2,1,,
08/31/2024,Neumann,Lasell,L 0-3,35.0,5667748,L,0,3,1,,
08/31/2024,Neumann,Gordon,L 1-3,55.0,5667849,L,1,3,1,,
08/31/2024,Pratt,Merchant Marine,L 0-3,150.0,5667629,L,0,3,1,,
08/31/2024,Chris. Newport,Johns Hopkins,L 0-3,157.0,5667829,L,0,3,1,,
08/31/2024,Mary Washington,Geneva,W 3-0,253.0,5667803,W,3,0,1,,
08/31/2024,Mary Washington,William Peace,W 3-0,88.0,5667954,W,3,0,1,,
08/31/2024,Mount Mary,IIT,L 0-3,50.0,5667658,L,0,3,1,,
08/31/2024,Mount Mary,Martin Luther,L 0-3,0.0,5667943,L,0,3,1,,
08/31/2024,Salisbury,Swarthmore,W 3-2,188.0,5667774,W,3,2,1,,
08/31/2024,UC Santa Cruz,Clarkson,W 3-1,100.0,5667805,W,3,1,1,,
08/31/2024,UC Santa Cruz,Whitman,W 3-0,125.0,5668073,W,3,0,1,,
08/31/2024,Warren Wilson,Ferrum,L 1-3,125.0,5667703,L,1,3,1,,
08/31/2024,Augustana (IL),Macalester,L 1-3,125.0,5667739,L,1,3,1,,
08/31/2024,Augustana (IL),St. Catherine,L 0-3,0.0,5667985,L,0,3,1,,
08/31/2024,Carroll (WI),Webster,W 3-0,110.0,5667646,W,3,0,1,,
